Group,Price,Quantity,Revenue,E_mid_to_prev,AbsE,Type,MR,RevMax,UnitElastic
A,1,9,9,,,,,0,0
A,2,8,16,-0.176471,0.176471,inelastic,7.000000,0,0
A,3,7,21,-0.333333,0.333333,inelastic,5.000000,0,0
A,4,6,24,-0.538462,0.538462,inelastic,3.000000,0,0
A,5,5,25,-0.818182,0.818182,inelastic,1.000000,1,0
B,1,12,12,,,,,0,0
B,2,10,20,-0.272727,0.272727,inelastic,8.000000,0,0
B,3,8,24,-0.555556,0.555556,inelastic,4.000000,0,0
B,4,7,28,-0.466667,0.466667,inelastic,4.000000,0,0
B,5,6,30,-0.692308,0.692308,inelastic,2.000000,1,0
